Input,Qty,Title,Source,Price,Extracted Price,Thumbnail,Link
10 days in the Americas,1,Ten Days In Beautiful Africa Board Game,eBay,$64.05,64.05,"=IMAGE(""https://serpapi.com/searches/614d6eaa1e803facd419ddd9/images/9ce0c7fc0ef54608599306188731c7571dbf007f6a9460c594f17cf696c476c9.webp"")",https://www.google.com/aclk?sa=L&ai=DChcSEwjWyKSv_JbzAhXhHq0GHVMPAo8YABAGGgJwdg&sig=AOD64_3Hrth31wKvAv2Bzqn08axwkpOm7g&ctype=5&q=&ved=0ahUKEwj69J-v_JbzAhXMvJ4KHeiuA7EQgeUECN0H&adurl=
Zigity,1,Cranium Zigity Tin,eBay - the_keen_collector,$12.95,12.95,"=IMAGE(""https://serpapi.com/searches/615275814b91ebf8777fd4c2/images/ec3774ee4e1869baa7961297c857a14e44c64b16299cdf5405ff11331629c3df.jpeg"")",https://www.google.com/aclk?sa=L&ai=DChcSEwjbvv7Mx6DzAhUZmLIKHaDZC9cYABAEGgJscg&sig=AOD64_0epDH5O8eN1_fYxgMIZmSEnuHcFw&ctype=5&q=&ved=0ahUKEwibhvnMx6DzAhVFyKQKHfDrASYQg-UECL4D&adurl=
Zooloretto,1,Zooloretto Board Game 2007 Game Of The Year Factory Sealed Free,eBay - brittanee1987,$69.95,69.95,"=IMAGE(""https://serpapi.com/searches/61529c62e4a23d5a7d68440c/images/ddec64ad5e347cf272f88e639954acad931eee20482bf949a664f1a20f7e1733.webp"")",https://www.google.com/aclk?sa=L&ai=DChcSEwi-3YXW7KDzAhWJicgKHQkgCUsYABAHGgJxdQ&sig=AOD64_3mC2kjNPFHFw7oRACXE2J_-hlWPg&ctype=5&q=&ved=0ahUKEwjf1oDW7KDzAhWUGVkFHUhWD4MQgeUECNMI&adurl=
Alienz,1,Alienz Card Game,eBay,$12.99,12.99,"=IMAGE(""https://serpapi.com/searches/6152a067629a01205a837894/images/670365b2bad8da81db1763fe3577a5268d6e3483a48d86a2dc935c6405e8008e.webp"")",https://www.google.com/aclk?sa=L&ai=DChcSEwilrbXB8KDzAhUKr8gKHZ-WDVUYABACGgJxdQ&sig=AOD64_1ohW2t8AfTxPGE2JaSil1BxEYyQA&ctype=5&q=&ved=0ahUKEwizx7DB8KDzAhVFF1kFHe_oCqEQg-UECGg&adurl=
Ancient civilizations of the inner sea,1,GMT Games Ancient Civilizations of The Inner Sea,Game Nerdz,$59.47,59.47,"=IMAGE(""https://serpapi.com/searches/6152a068e93ff4d3c9903337/images/24754da7c574051e3c872403e9b195b345e151fc546001d86b22486f8a8b6d75.jpeg"")",https://www.google.com/aclk?sa=L&ai=DChcSEwiF3pfB8KDzAhUT5cgKHXfqD-gYABAEGgJxdQ&sig=AOD64_0oKcXDaVC89eskmyIE4bM2t7SM9g&ctype=5&q=&ved=0ahUKEwiTvpLB8KDzAhXFQzABHYhFCjwQg-UECKEB&adurl=
Are you smarter than a 5th grader?,1,No results found for this title. Something went horribly wrong!,,,,"=IMAGE(""undefined"")",
Amasser dragons,1,No results found for this title. Something went horribly wrong!,,,,"=IMAGE(""undefined"")",
Above and below,1,Above and Below Game,eBay - mytechstation,$50.12,50.12,"=IMAGE(""https://serpapi.com/searches/6152a0673c3fb212f366c27f/images/1d533dc45f5c32334cc90227a9cdd5ba2c70cdda120dd70dfc47da44c35e9b96.webp"")",https://www.google.com/aclk?sa=L&ai=DChcSEwiio_XA8KDzAhUX5cgKHcSCDpsYABAGGgJxdQ&sig=AOD64_3yXmsHQiKVSuDzvF0EQ8jWsp4x-g&ctype=5&q=&ved=0ahUKEwjno-_A8KDzAhVoFlkFHeQqDdQQg-UECJMD&adurl=
Among thieves,1,"Among Thieves Board & Card Game, Brand In Shrink Wrap",eBay,$10.00,10,"=IMAGE(""https://serpapi.com/searches/6152a0688ccee0077226a2a1/images/39226c4eb6def523e13571a31f569403cec9e8acdfd92a2423f2ca81736b6a1a.webp"")",https://www.google.com/aclk?sa=L&ai=DChcSEwi92PbA8KDzAhXC-sgKHfIsAMQYABAFGgJxdQ&sig=AOD64_07GW7XKljIsFXg96RlzcMlCfhfhg&ctype=5&q=&ved=0ahUKEwjBgPHA8KDzAhVoMlkFHeHDBDsQgeUECKwC&adurl=
Alan’s Adventureland,1,Rio Grande Games Alan's Adventureland Game,Atomic Empire,$36.99,36.99,"=IMAGE(""https://serpapi.com/searches/6152a0675fc493a7ac62c483/images/8e6fb6125535dd1266d53691fb82407df88de6d88e3d72a3ba0f5236b5722cc2.jpeg"")",https://www.google.com/aclk?sa=L&ai=DChcSEwiA4o3B8KDzAhURjMgKHcqoAhgYABABGgJxdQ&sig=AOD64_2uwj1pDIo8-MSHLnqX-iq99ip9AQ&ctype=5&q=&ved=0ahUKEwjxmojB8KDzAhWTAZ0JHamUA5sQg-UECIAB&adurl=
